	dsfang	relsoilden	soilweight	unshstr0	unshstr1	draincoh	seaflrfriccoef	soilsen	rockcompstr
ls	29.0	25.0	8009.232	0.0	0.0	0.0	0.74	0.0	0.0
ms	33.0	60.0	9611.078	0.0	0.0	0.0	0.74	0.0	0.0
ds	38.5	77.5	10412.001	0.0	0.0	0.0	0.74	0.0	0.0
vsc	22.0	0.0	3604.154	4788.0	 0.0	0.0	0.5	3.0	0.0
sc	28.0	0.0	6006.924	7182.0 	478.0	0.0	0.5	3.0	0.0
fc	34.0	0.0	9210.616	21546.0	478.0	0.0	0.5	3.0	0.0
stc	40.0	0.0	9210.616	50274.0	478.0	0.0	0.5	3.0	0.0
cm	36.5	0.0	10.0E+03	1.00E+01	0.0	0.0	0.3	0.0	9.24E+07
src	24.0	0.0	11.5E+03	1.15E+01	0.0	0.0	0.3	0.0	8.50E+06
hr	40.0	0.0	17.5E+03	1.75E+01	0.0	0.0	0.3	0.0	2.03E+08
hgt	32.5	0.0	10.0E+03	1.00E+01	0.0	0.0	0.3	0.0	1.50E+06
gc	32.5	0.0	10.0E+03	1.00E+01	0.0	0.0	0.3	0.0	1.50E+06

